First Name,Last Name,Email Address,Salt,Date of Birth,Street Name,Parish,Zip,Country,Contact Number
Mikaël,Greenidge,Mikal.Greenidge_884@kkhairemporium.com,b5d15e0cfadf1f23,,Sugar Cane Way #205,St. George Basseterre,KN0101,St. Kitts & Nevis,459-9841-337
Jéssica ,Clarke,Jssica.Clarke@mail.kkhair.net,,,,,,,
Shanice ,Thompson,Shanice.Thompson@loyalty.kkhair.com,,,,,,,
Andre,Clarke,Andre.Clarke@loyalty.kkhair.com,7a05ede80c9344f4,,Bamboo Crescent #33,St. Thomas Lowland,KN0101,St. Kitts & Nevis,(170) 05455
Mikaël,García,MIKAL.GARCA.980@kandk-hair.co,2f2bafa52e77cc17,,Coral Ridge #266,Micoud,LC12 301,St. Lucia,+1 (758) 055839
Tanesha,Singh,Tanesha.Singh@loyalty.kkhair.com,c8ccd23544748cf4,,Hibiscus Lane #118,Soufrière,LC04 101,St. Lucia,(867) 4857
Chloë,Núñez,Chlo.Nez_312kkhairemporium.com,769cb77d670afb96,,Cedar Park #277,Vieux Fort,2958,St. Lucia,021-7047-012
Kareem,García,Kareem.Garca@mail.kkhair.net,fb14e51816cbebd5,,Coral Ridge #52,Diego Martin,80233,Trinidad & Tobago,+ 06943944  
D’Andre,Alleyne,DANDRE.ALLEYNE@loyalty.kkhair.com,,,,,,,
Chloë,Best,CHLO.BEST@loyalty.kkhair.com,6a79e1b0f0ffb099,,Queen's Road #234,St. John Figtree,9266,St. Kitts & Nevis,+ 1380595194845422  
Devon,Singh,Devon.Singh@#.kandk-hair.co,109c02093637abae,,Mango Tree Drive #76,Dennery,LC10 201,St. Lucia,(721) 7618989878776
Rohan,Joseph,Rohan.Joseph@kkhairemporium.com,2e7830fc9173bfaa,,Market Street #167,Christ Church,96727,Barbados,+1 (246) 44933927
Jéssica,Grant,Jssica.Grant@MAIL.KKHAIR.NET,87e864bcf90a6c4a,,Sunset Blvd #173,Chaguanas,00000,Trinidad & Tobago,607136
Keisha,Jean-Baptiste,Keisha.Jean-Baptiste@loyalty.kkhair.com,be065601d092ea05,,Hibiscus Lane #13,Port of Spain,TT9408,Trinidad & Tobago,587-5585-09591
Chloë,Ramdeen,CHLO.RAMDEEN@kkhairemporium.com,6cb2ebc5d4175f6a,,Harbour View #248,St. Andrew,03,Jamaica,895-9153-242
Tia De la,Cruz,Tia.Cruz@mail.kkhair.net,,,,,,,
Kirsten De la,Cruz,Kirsten.Cruz.397@kkhairemporium.com,3fe6df1204f21a40,,Bay Street #66,St. George Basseterre,KN0101,St. Kitts & Nevis,+1 (869) 62446220
Kofi,Thompson,Kofi.Thompson@kandk-hair.co,6b1f8b06751e04ZZ,,Coral Ridge #7,St. James,16,Jamaica,+1 (876) 327737655476
Kirsten De la,Cruz,Kirsten.Cruz@LOYALTY.KKHAIR.COM,,,,,,,
D’Andre,Brathwaite,DAndre.Brathwaite@kandk-hair.co,97d096d5b0aa5ad5,,Coral Ridge #75,St. Peter Basseterre,KN0503,St. Kitts & Nevis,+1 (869) 3468927047
Mikaël St.,Clair,Mikal.Clair_928@KKHAIREMPORIUM.COM,274b5ec5b4152733,,Coconut Walk #85,St. George,BB17001,Barbados,+ 167811  
Kirsten,O'Connor,Kirsten.OConnor_520@mail.kkhair.net,,,,,,,
Anaïs ,Morris,Anas.Morris@kkhairemporium.com,03f143ed9a2fe144,,Sugar Cane Way #180,Gros Islet,6002,St. Lucia,253-2095-928
Andre Núñez,Forde,Andre.Forde@kkhairemporium.com,fd6f570aafff6c%^,,Coral Ridge #112,Manchester,09,Jamaica,+ 3903560285869660  
Rohan,Lewis,ROHAN.LEWIS@loyalty.kkhair.com,71467626b29aa0e0,,Independence Ave #217,St. Michael,60529,Barbados,+ 14487621  
Tia,Baptiste,Tia.Baptiste_515@mail.kkhair.net,a140192ef1f78d17,,Coconut Walk #7,St. John Figtree,KN0101,St. Kitts & Nevis,+ 5275428328  
Devon St.,Clair,Devon.Clair@KANDK-HAIR.CO,,,,,,,
Devon,Greenidge,Devon.Greenidge@domain_with_space.KANDK-HAIR.CO,f6e996036d756e05,,Independence Ave #3,Soufrière,LC12 301,St. Lucia,513-3117-8605
Keisha,Ramdeen,Keisha.Ramdeen@kandk-hair.co,5706d0ceff358f5c,,Bay Street #208,Chaguanas,85522,Trinidad & Tobago,453-752
Rashida,Williams,Rashida.Williams@kkhairemporium.com,ed9df1b1d066278d,,Mango Tree Drive #164,St. Paul Charlestown,KN0101,St. Kitts & Nevis,+1 (869) 563338923495
Kareem,Lewis,Kareem.Lewis@loyalty.kkhair.com,54df6a909ecbe3dd,,Bamboo Crescent #188,St. George Basseterre,9593,St. Kitts & Nevis,+1 (869) 56434760882
Aaliyah,Joseph,Aaliyah.Joseph@KANDK-HAIR.CO,4076c919f922d787,,Sunset Blvd #32,Couva-Tabaquite-Talparo,22834,Trinidad & Tobago,284-5541
Devon,Thompson,Devon.Thompson_820@@KKHAIREMPORIUM.COM,a7763f28eab82559,,Palm Grove #93,St. Paul Charlestown,KN0101,St. Kitts & Nevis,+ 895217  
Kirsten ,Singh,Kirsten.Singh@kkhairemporium.com,5f8c4779917fcb86,,Sugar Cane Way #288,St. Ann,12,Jamaica,641-4863-2908
Kirsten,Singh,Kirsten.Singh@mail.kkhair.net,6baf15402ef20d49,,Harbour View #293,St. James,45056,Barbados,+ 14391032  
Jermaine,Jean-Baptiste,Jermaine.Jean-Baptiste@loyalty.kkhair.com,e5c02effb76944a6,,Independence Ave #185,Diego Martin,00000,Trinidad & Tobago,+1 (868) 75021885
Rohan,Baptiste,Rohan.Baptiste.389@loyalty.kkhair.com,1c5a2afaa381ce30,,Coconut Walk #181,Arima,73405,Trinidad & Tobago,+ 4966529483  
D’Andre O'Connor,Williams,DAndre.Williams@loyalty.kkhair.com,579ec8d25c286c73,,Bay Street #226,St. Catherine,49074,Jamaica,519-5663-0063
Renée,Forde,Rene.Forde@kkhairemporium.com,1ab91f25c3a95f01,,Bamboo Crescent #54,Gros Islet,3108,St. Lucia,+1 (758) 4602136884
Zoë,Singh,ZO.SINGH@loyalty.kkhair.com,f0d6044577b4ef3b,,Bay Street #210,St. Catherine,30532,Jamaica,7464550728310185
Sofía Alleyne,Greenidge,Sofa.Greenidge@mail.kkhair.net,2fabf745101a0a9b,,Queen's Road #282,St. Thomas Lowland,KN0101,St. Kitts & Nevis,34424627123
Dwayne Morris,Hernández,Dwayne.Hernndez@kkhairemporium.com,5391e7f61e286060,,Palm Grove #175,St. John Figtree,3901,St. Kitts & Nevis,+1 (869) 247485798889
Jamal,Hernández,JAMAL.HERNNDEZ@kandk-hair.co,b972c9b8e11f58d6,,Cedar Park #180,St. Thomas Lowland,KN0101,St. Kitts & Nevis,+1 (869) 75007709903
D’Andre,Campbell,DANDRE.CAMPBELL_215@#.kandk-hair.co,0d55c162c84cc773,,Market Street #80,Christ Church,BB14000,Barbados,719945740519
Jamal De la,Cruz,JAMAL.CRUZ@kandk-hair.co,e80b50ab1bf428e4,,Hibiscus Lane #89,St. James,20087,Barbados,+ 54062789088  
Keisha,Dottin,Keisha.Dottin@loyalty.kkhair.com,b06bd3d5e382685f,,Hibiscus Lane #162,Clarendon,40477,Jamaica,+1 (876) 420942079374
Khadija,Williams,Khadija.Williams_798@kkhairemporium.com,,,,,,,
Andre,Baptiste,Andre.Baptiste@mail.kkhair.net,5b13c2bdf1f461ZZ,,Cedar Park #158,St. Peter,BB14000,Barbados,+1 (246) 32692494
D’Andre,Forde,DAndre.Forde.408@kandk-hair.co,4cbc6c14b7cf6414,,Bamboo Crescent #282,St. Michael,BB23026,Barbados,73871834100
Khadija,Grant,Khadija.Grant@kandk-hair.co,7fb099e1a718f04f,,Cedar Park #234,Soufrière,LC12 301,St. Lucia,+ 050198575473  
Devon,Pérez,DEVON.PREZ@,c4f950a54ae61f65,,Bamboo Crescent #205,St. George,BB14000,Barbados,+ 861171340250  
Jéssica,Campbell,Jssica.Campbell@mail.kkhair.net,e8a0f63452325c94,,Coconut Walk #135,St. Ann,16,Jamaica,705070
Anaïs,O'Connor,ANAS.OCONNOR@kandk-hair.co,1430015fd9be10b3,,Bay Street #28,St. John Figtree,KN0101,St. Kitts & Nevis,37693287
Keisha van der,Kringle,Keisha.Kringle@kkhairemporium.com,8780205cbaec9ebd,,Mango Tree Drive #99,Clarendon,87063,Jamaica,+1 (876) 0506859023309462
Tanesha,Singh,TANESHA.SINGH@kandk-hair.co,ccd5e85701e2a8fa,,Bamboo Crescent #100,San Fernando,00000,Trinidad & Tobago,+1 (868) 567814
Renée,Morris,Rene.Morris@LOYALTY.KKHAIR.COM,0ab4808ffaf590ZZ,,Bamboo Crescent #267,Diego Martin,22106,Trinidad & Tobago,2494764
Anaïs,Brathwaite,Anas.Brathwaite@#.LOYALTY.KKHAIR.COM,,,,,,,
Sade ,Jean-Baptiste,Sade.Jean-Baptiste@kkhairemporium.com,078bb9c9513304%^,,Market Street #281,St. Paul Charlestown,1114,St. Kitts & Nevis,+ 7507519267750461  
Chloë,Grant,Chlo.Grant@mail.kkhair.net,fc92894f3e9a629b,,Market Street #27,St. George Basseterre,KN0101,St. Kitts & Nevis,(735) 64272
D’Andre,Singh-Joseph,DAndre.Singh-Joseph@,b5aa62682ed550b9,,Seaview Terrace #17,St. Michael,BB17001,Barbados,84828173
Latoya,Best,LATOYA.BEST-185@mail.kkhair.net,ca3827960ec74ec2,,Queen's Road #45,Arima,00000,Trinidad & Tobago,+1 (868) 3637437
Noël,Singh,Nol.Singh@LOYALTY.KKHAIR.COM,3ea193906d79e8a3,,Coral Ridge #124,Diego Martin,00000,Trinidad & Tobago,+1 (868) 944312
Sade ,García,Sade.Garca_351@#.mail.kkhair.net,,,,,,,
Aaliyah,Forde,Aaliyah.Forde-303@kkhairemporium.com,9c88f31c1c1de7fe,,Sunset Blvd #279,Kingston,17859,Jamaica,479-8011-7056
Jermaine,Dottin,Jermaine.Dottin@kandk-hair.co,6109a66860850e%^,,Coconut Walk #229,Vieux Fort,4314,St. Lucia,+1 (758) 3825117230
Jamal,Grant,Jamal.Grant@mail.kkhair.net,b2cc1757f0380b1e,,Bamboo Crescent #50,Micoud,LC10 201,St. Lucia,477259611595
Jéssica,Grant,Jssica.Grant@@kkhairemporium.com,6d7ad1fe79f4983d,,Market Street #252,St. Thomas Lowland,KN0101,St. Kitts & Nevis,(429) 3268348
Noël,Campbell,NOL.CAMPBELL@loyalty.kkhair.com,9a5548bce077b18d,,Mango Tree Drive #143,St. George Basseterre,KN0302,St. Kitts & Nevis,8789591
Andre,Hernández,Andre.Hernndez@domain_with_space.kkhairemporium.com,f6d0d766b1cccfd0,,Market Street #14,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,+ 30692509805  
Dwayne,Pérez-Ramdeen,DWAYNE.PREZ-RAMDEEN@MAIL.KKHAIR.NET,396df80742ee823f,,Sugar Cane Way #21,Vieux Fort,4084,St. Lucia,157-5229-50838
Jéssica,Clarke,JSSICA.CLARKE@kkhairemporium.com,319fd02b1778a254,,Bamboo Crescent #45,St. Paul Charlestown,KN0302,St. Kitts & Nevis,(742) 50743
Noël,Núñez,Nol.Nez@ mail.kkhair.net,ad4e7fffca80479f,,Bay Street #99,Soufrière,LC04 101,St. Lucia,+1 (758) 5652936756
Andre,Williams,Andre.Williams@@kkhairemporium.com,e6f2ad3c52f6cf27,,Coconut Walk #11,Dennery,LC04 101,St. Lucia,6616246988
Anaïs,Jean-Baptiste,Anas.Jean-Baptisteloyalty.kkhair.com,52135a9cea29bef1,,Harbour View #273,Clarendon,05,Jamaica,35456367
Khadija,Best,Khadija.Best@loyalty.kkhair.com,42258e86a1df516f,,Bay Street #10,San Fernando,TT3474,Trinidad & Tobago,+1 (868) 90150595476
Keisha,Baptiste,Keisha.Baptiste@loyalty.kkhair.com,7c4abd28834e1216,,Coral Ridge #131,Port of Spain,00000,Trinidad & Tobago,+1 (868) 32409652612
Sofía van der,Kringle,Sofa.Kringlekandk-hair.co,c1e5ca5138ed1de7,,Coral Ridge #123,St. Andrew,85097,Jamaica,2050650696158844
Mikaël St.,Clair,MIKAL.CLAIR@KKHAIREMPORIUM.COM,546efa1890c7588c,,Cedar Park #57,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,(427) 93399
Noël,Thompson,Nol.Thompsonloyalty.kkhair.com,be3d32d5b9639a7d,,Market Street #223,Castries,4654,St. Lucia,+1 (758) 6161605433707367
Chloë,Morris,Chlo.Morris@kkhairemporium.com,,,,,,,
Rohan ,Singh,Rohan.Singh@loyalty.kkhair.com,,,,,,,
Kareem,Hernández,Kareem.Hernndez_506@mail.kkhair.net,535f9d53669bb5bc,,Coral Ridge #88,Micoud,LC04 101,St. Lucia,414-7537-637825648
Jéssica,Holder,Jssica.Holder@kandk-hair.co,3bc80d05fd30057b,,Coral Ridge #133,St. Catherine,19,Jamaica,+ 494385633759  
Sofía,Williams-Brathwaite,Sofa.Williams-Brathwaite@KKHAIREMPORIUM.COM,6ebb5d7528b31b23,,Sunset Blvd #255,Couva-Tabaquite-Talparo,83437,Trinidad & Tobago,433-9553-433
Rohan,Forde,ROHAN.FORDE@ loyalty.kkhair.com,04eec13473c4afZZ,,Cedar Park #211,St. Paul Charlestown,6714,St. Kitts & Nevis,+ 384718458163  
Tia,Forde,Tia.Forde@loyalty.kkhair.com,,,,,,,
Mikaël,Campbell,Mikal.Campbell@kkhairemporium.com,1b6517c270299d83,,Coral Ridge #148,St. George Basseterre,KN0302,St. Kitts & Nevis,(069) 32894011
José,Lewis,Jos.Lewis@kandk-hair.co,4d67b573ea9ef3ZZ,,Hibiscus Lane #67,Kingston,23876,Jamaica,(482) 28780
Mikaël,Holder,MIKAL.HOLDER@kandk-hair.co,cdd1cb0b4d21ddbb,,Bamboo Crescent #131,St. James,24063,Jamaica,(439) 684
Andre ,Clarke-Johnson,Andre.Clarke-Johnson@kkhairemporium.com,2ebed031dea44d49,,Seaview Terrace #266,Arima,TT3753,Trinidad & Tobago,+ 17731319  
Tyrone,Johnson,TYRONE.JOHNSON@KANDK-HAIR.CO,a269cb1dadd7f89f,,Sunset Blvd #85,St. Thomas Lowland,KN0302,St. Kitts & Nevis,+ 5729976656  
Latoya,Holder,Latoya.Holder@loyalty.kkhair.com,5beb08245dc97b08,,Sugar Cane Way #228,St. Andrew,04,Jamaica,+ 2477603  
Latoya Forde,Browne,Latoya.Browne@mail.kkhair.net,4b3e6d3cb547a1f7,,Seaview Terrace #185,Christ Church,BB14000,Barbados,603-3429-9508
Renée van der,Kringle,Rene.Kringle@mail.kkhair.net,f81d584c317748ff,,Market Street #141,Arima,24552,Trinidad & Tobago,+1 (868) 9406357
Jermaine,Dottin,Jermaine.Dottin@mail.kkhair.net,010c2bbb75488abd,,Sunset Blvd #156,Clarendon,90613,Jamaica,+1 (876) 99517699330
José,Campbell,JOS.CAMPBELL@,7523214dd47fe637,,Bay Street #276,St. Peter Basseterre,KN0503,St. Kitts & Nevis,803-4633-287
Sade,Forde,SADE.FORDE_527@mail.kkhair.net,399a67fb503bc38d,,Coconut Walk #40,Vieux Fort,LC10 201,St. Lucia,40913417810
Jéssica,Greenidge-Forde,Jssica.Greenidge-Forde_660@mail.kkhair.net,7d64b4b9616a7a52,,Coconut Walk #195,Soufrière,1348,St. Lucia,+1 (758) 471575610801
Andre,Williams,Andre.Williams@mail.kkhair.net,cb9620abef21614e,,Bay Street #280,Arima,53341,Trinidad & Tobago,(843) 42314
Kareem St.,Clair,Kareem.Clair@kkhairemporium.com,9390b1b0278f85c7,,Independence Ave #88,St. Ann,49742,Jamaica,+1 (876) 392453960424
Rohan,Jean-Baptiste,Rohan.Jean-Baptiste@loyalty.kkhair.com,a69a5e68dbeea77b,,Seaview Terrace #199,Vieux Fort,1106,St. Lucia,+ 1540244  
Chloë,Grant,CHLO.GRANT@mail.kkhair.net,760a0e8a19975e35,,Market Street #144,St. Thomas Lowland,2826,St. Kitts & Nevis,+1 (869) 36240885163
Tia,Joseph,Tia.Joseph@kkhairemporium.com,e3c5e8ee22679fe1,,Cedar Park #131,St. John Figtree,KN0101,St. Kitts & Nevis,+ 8213114  
Kareem,Charles,KAREEM.CHARLES@domain_with_space.kkhairemporium.com,4e08c6c236d86c4d,,Sugar Cane Way #100,Diego Martin,00000,Trinidad & Tobago,+1 (868) 29694269
D’Andre,Johnson,DAndre.Johnson@kkhairemporium.com,48cba4bfe6a3c740,,Bay Street #238,Dennery,LC04 101,St. Lucia,002-1498-0084
Aaliyah,Johnson,Aaliyah.Johnson@kandk-hair.co,46a05223f0101454,,Sugar Cane Way #86,Castries,LC10 201,St. Lucia,+1 (758) 0898046617
Renée,Alleyne,Rene.Alleyne@kandk-hair.co,106b1ebc78931b79,,Sunset Blvd #96,St. John Figtree,3680,St. Kitts & Nevis,+1 (869) 07932818
Tanesha,Morris,Tanesha.Morris.264@mail.kkhair.net,878f0350b13c6747,,Coral Ridge #113,St. Peter Basseterre,KN0503,St. Kitts & Nevis,(924) 912
Anaïs,Lewis,Anas.Lewis@LOYALTY.KKHAIR.COM,d55096ee389f5984,,Market Street #122,Castries,6287,St. Lucia,808-2078-098822092
Tanesha,Dottin,TANESHA.DOTTIN@kkhairemporium.com,7a865d1755910e%^,,Sunset Blvd #178,St. George Basseterre,KN0503,St. Kitts & Nevis,+1 (869) 888959
Jéssica,Lewis,Jssica.Lewis.623@kkhairemporium.com,8609811210dac266,,Mango Tree Drive #87,Soufrière,LC12 301,St. Lucia,(075) 059990640
D’Andre,Ramdeen,DAndre.Ramdeen@mail.kkhair.net,b2348b1fe7d7a1d1,,Independence Ave #236,Kingston,14,Jamaica,260-1772-6
Tyrone,Pérez,Tyrone.Prez@domain_with_space.kandk-hair.co,a718cf90e3b7732a,,Cedar Park #213,St. Andrew,70390,Jamaica,+ 8483364921529645  
Sofía,Williams,SOFA.WILLIAMS@mail.kkhair.net,5e061dfd84132fZZ,,Seaview Terrace #135,St. Thomas,BB14000,Barbados,+1 (246) 95668651
Tyrone,Greenidge,Tyrone.Greenidge@,,,,,,,
Dwayne Lewis,Williams,Dwayne.Williams@loyalty.kkhair.com,5c0d04740005f0df,,Coconut Walk #217,St. Thomas Lowland,KN0302,St. Kitts & Nevis,221-2881
Anaïs,Thompson,ANAS.THOMPSON_507@kandk-hair.co,5566459dc3e213c6,,Hibiscus Lane #229,St. Thomas Lowland,KN0101,St. Kitts & Nevis,+ 4472270048997442  
Rohan,Morris,Rohan.Morris@kkhairemporium.com,cfbbef2ae777a76f,,Market Street #150,Couva-Tabaquite-Talparo,17342,Trinidad & Tobago,761927812079
D’Andre,Singh,DAndre.Singh@loyalty.kkhair.com,,,,,,,
Jermaine,Greenidge,Jermaine.Greenidge@kkhairemporium.com,,,,,,,
Keisha,Browne,Keisha.Browne@kkhairemporium.com,6ad4997f558035%^,,Coral Ridge #36,Manchester,06,Jamaica,(666) 78303172
Mikaël,Baptiste,Mikal.Baptiste@loyalty.kkhair.com,08db7a281bc9b681,,Mango Tree Drive #187,St. Ann,81932,Jamaica,257-5022
Sade,Morris,Sade.Morris@kandk-hair.co,071a92a516f31308,,Queen's Road #23,Manchester,18,Jamaica,008768486558
Jermaine,Alleyne,Jermaine.Alleyne@LOYALTY.KKHAIR.COM,de984552dc1b5638,,Coconut Walk #93,Couva-Tabaquite-Talparo,TT4643,Trinidad & Tobago,931-2404-938
Noël,Dottin,NOL.DOTTIN@domain_with_space.loyalty.kkhair.com,,,,,,,
Zoë,Brathwaite,Zo.Brathwaite@kandk-hair.co,167f69b6b1143ad7,,Coral Ridge #144,Couva-Tabaquite-Talparo,34736,Trinidad & Tobago,19978513445
D’Andre,Charles,DAndre.Charles-739@#.mail.kkhair.net,2da0e9c3418da9ac,,Harbour View #108,St. James,07,Jamaica,2230421037998204
Marlon,Browne,MARLON.BROWNE@#.kandk-hair.co,0d5e92bf165c183c,,Coconut Walk #113,Couva-Tabaquite-Talparo,TT2839,Trinidad & Tobago,(455) 7464333040305
Zoë,Greenidge,Zo.Greenidge-842@mail.kkhair.net,77ea63fa4c3558%^,,Cedar Park #172,St. Peter,BB14000,Barbados,+1 (246) 022874
Tia,Campbell,TIA.CAMPBELL@mail.kkhair.net,905cbaa58b157730,,Coconut Walk #275,Dennery,LC12 301,St. Lucia,+ 38827374  
Shanice,Joseph,Shanice.Joseph@loyalty.kkhair.com,6b7f3539c71f11a6,,Bamboo Crescent #277,St. John Figtree,KN0302,St. Kitts & Nevis,6557474
Jéssica,Núñez,Jssica.Nez@kkhairemporium.com,cc7b4f7c00ebb080,,Hibiscus Lane #262,San Fernando,00000,Trinidad & Tobago,(820) 7907
Andre,Dottin,ANDRE.DOTTIN-160@MAIL.KKHAIR.NET,44276e08a16d0f59,,Mango Tree Drive #97,St. Peter,BB23026,Barbados,(197) 2855867931602
Rashida,Núñez,RASHIDA.NEZ@kkhairemporium.com,,,,,,,
Keisha,Greenidge,Keisha.Greenidge@,8725dddeebc9c6c7,,Coconut Walk #268,Clarendon,63273,Jamaica,870146187027
