  Name  nsuef,Email Addresshbjjb , Password 12582,Salt %^bh ,Date of Birth   ,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
Khadija Ramdeen,KHADIJA.RAMDEEN@kkhairemporium.com,V^3BnNGk,1c9c5bb915c7ba59,1957/02/01,Mango Tree Drive #194,St. Catherine,46672,Jamaica,Spanish Town,18864,Female,315-3888-245279050,2016/04,37
Rohan Núñez,Rohan.Nez.264@LOYALTY.KKHAIR.COM,snlm6^7p,6726f64ca71d122f,1984/05/17,Sunset Blvd #237,Manchester,14,Jamaica,Kingston,6056,Male,0091561829803657,2018/10/15,36
Jamal O'Connor,Jamal.OConnor@mail.kkhair.net,hjNjp^Kn,77cfa04d6556427e,1985/04/18,Sunset Blvd #131,St. George Basseterre,KN0302,St. Kitts & Nevis,Charlestown,17567,Prefer not to say,+1 (869) 050537666081,2016/09/20,108
 Andre Thompson  ,Andre.Thompson@MAIL.KKHAIR.NET,Xt6jPB,568ab1d5d3ffd468,1958-08-14,Coconut Walk #284,St. Michael,79181,Barbados,Bridgetown,11226,Non-binary,+1 (246) 7882603,2018/02/05,15
Jamal  De  la  Cruz,Jamal.Cruz@loyalty.kkhair.com,LKxc5G,5cdc9e294bc74a__,1982/10/10,Bamboo Crescent #100,Christ Church,BB14000,Barbados,Bridgetown,7308,Non-binary,+ 2669806908726176  ,2016/03/03,22
Dwayne Charles,Dwayne.Charles@loyalty.kkhair.com,,,,,,,,,,,,,
Khadija Thompson St. Clair,KHADIJA.CLAIR@KKHAIREMPORIUM.COM,hJkLjPg60w%z40sg,7880fee9c51e4cd4,1985-11-29,Bamboo Crescent #48,Couva-Tabaquite-Talparo,74499,Trinidad & Tobago,Port of Spain,5274,Female,4068841333731255,2016/12/16,117
  Jamal  Greenidge    ,Jamal.Greenidge@KANDK-HAIR.CO,aWoC2E$O,fbc366e299815a14,1981/05/18,Cedar Park #49,Diego Martin,00000,Trinidad & Tobago,Port of Spain,14802,Male,+1 (868) 416781277822,2016/11/26,112
Mikaël García,MIKAL.GARCA.953@mail.kkhair.net,4D2 D*Fo$w*O0,7e0fdc3ef1cf7c40,1955/03/15 ,Independence Ave #44,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,Chaguanas,11445,Non-binary,+1 (868) 216505871469,2016/05/29,98
Keisha Ramdeen,Keisha.Ramdeen@kkhairemporium.com,E3*K*cuqeQ,7d8949a229bee1e2,1971/01,Market Street #206,St. James,13,Jamaica,Spanish Town,21519,Male,+1 (876) 974619,2018/08/02,68
Tia Charles,Tia.Charles@KANDK-HAIR.CO,z@e&O^aZxEVgIdUX,ae103585ab885cec,1986/09/02,Coral Ridge #151,San Fernando,TT5040,Trinidad & Tobago,Port of Spain,22397,Non-binary,+1 (868) 6338915624152857,2017/12/04,73
Tia Ramdeen,TIA.RAMDEEN@loyalty.kkhair.com,nYV Ud!%HXPcP!KHC,9323ff516a7812b6,1962/11/30,Mango Tree Drive #56,St. Catherine,11,Jamaica,Kingston,23885,Male,936-7813-6,2017/10/11,79
Noël Williams,NOL.WILLIAMS@kkhairemporium.com,X^p^8hq9aIUq,bc54add1adee8954,1985/04/24,Sugar Cane Way #144,Micoud,6562,St. Lucia,Gros Islet,10398,Non-binary,+ 8249116  ,2016/02/22,108
Mikaël Morris García,Mikal.Garca@KKHAIREMPORIUM.COM,POiAaP,16d53999ccf4f7de,1994/07/27,Coconut Walk #212,Christ Church,BB17001,Barbados,Warrens,16885,Male,43183281,2017-01-24,16
Kofi Williams,Kofi.Williams@KKHAIREMPORIUM.COM,%F1H!u,eb05fc2e55bfea8b,1978/10/31,Harbour View #80,St. Ann,14285,Jamaica,Kingston,20270,Female,76831608271,2016/12/25,87
Rohan Greenidge,Rohan.Greenidge@kandk-hair.co,xwtB0vm2Pj,7475ab76a98d3fef,1990/4/7,Palm Grove #293,St. Catherine,43278,Jamaica,Spanish Town,23445,Female,+1 (876) 7997029,2016/05/23,42
Renée Hernández,Rene.Hernndez@kandk-hair.co,r%FqtdmrUY,165118feeb6bb57c,1958/08,Coconut Walk #155,St. Andrew,13,Jamaica,Spanish Town,18803,Non-binary,+ 715239  ,2016/07/10,19
Aaliyah Dottin,Aaliyah.Dottin@kkhairemporium.com,yhza18kA@losYgtt,53ede413233cc3__,1957/11/11,Sugar Cane Way #176,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Basseterre,20413,Male,+1 (869) 493665,2016/01/28,58
Jéssica Joseph,Jssica.Joseph-24@MAIL.KKHAIR.NET,bPrtKWqcyU,bc206b4f037e3486,1987/03/18,Market Street #188,Soufrière,LC10 201,St. Lucia,Castries,886,Non-binary,+1 (758) 202706,2016/11/27,71
Tanesha Morris,Tanesha.Morris@kkhairemporium.com,0DqqK^,3aa8507917130bcf,1995/07/03 ,Bay Street #158,Arima,18504,Trinidad & Tobago,Chaguanas,22186,Non-binary,+ 46234712  ,2017/05/29,0
Andre  Charles-Johnson,Andre.Charles-Johnson.812@MAIL.KKHAIR.NET,Jl!u2%f*b%mU,403a1e261de371e7,1959/04/16,Coconut Walk #185,St. George,46116,Barbados,Warrens,6537,Prefer not to say,130-0962,2018/12/17,57
José Best,JOS.BEST@#.loyalty.kkhair.com,Zu4G3Y3t,274f0118cdd39a02,1959/07/16,Mango Tree Drive #240,Port of Spain,00000,Trinidad & Tobago,Chaguanas,21466,Non-binary,388-1949-0531,2016/12/18,78
Khadija Morris,Khadija.Morris@#.mail.kkhair.net,Ciz74p1WLn0W,46f91ff8775ad569,1965/03/22,Mango Tree Drive #8,St. George Basseterre,KN0302,St. Kitts & Nevis,Sandy Point,21637,Male,+ 370878  ,2016/08/04,7
Renée De la Cruz,RENE.CRUZ@kkhairemporium.com,$#5sok4c&#L$dj*Z,9453eb7ebe051081,1983/09/23,Sunset Blvd #93,St. Ann,07,Jamaica,Montego Bay,19519,Prefer not to say,+ 128794  ,2018/05/17,64
Jermaine O'Connor,Jermaine.OConnor@MAIL.KKHAIR.NET,TDpHl2,d1f75f97acb3ec59,1992/10/29,Coconut Walk #193,St. James,42591,Jamaica,Spanish Town,14067,Female,(784) 21702,2016/07/28,20
Devon Dottin,Devon.Dottin@kkhairemporium.com,I&Z&#Df3,8cf4e2d02292637b,1969/08/24,Cedar Park #105,Dennery,LC04 101,St. Lucia,Castries,6990,Prefer not to say,605-2304-58816,2016/02,46
Jéssica Grant,Jssica.Grant@kkhairemporium.com,d1Zi89i%qH,10ce4382e8d37a5c,1978/10/11,Coral Ridge #276,Micoud,5079,St. Lucia,Vieux Fort,20268,Prefer not to say,869-4155-9,2017-10-04,6
Jamal Singh,Jamal.Singh@mail.kkhair.net,fSoj8k2hD&YA,7d438ab1cf010949,1977/06,Coconut Walk #193,St. Thomas,BB23026,Barbados,Oistins,18243,Prefer not to say,760-5642-045,2018/01/15,56
Rashida Hernández-Greenidge,Rashida.Hernndez-Greenidge@kkhairemporium.com,HZWqx1RLgn,ab710d5535495edf,1997/7/9,Independence Ave #162,Micoud,2103,St. Lucia,Castries,3396,Female,+ 4115848  ,2018/03,0
Shanice Johnson,SHANICE.JOHNSON@KANDK-HAIR.CO,T4bI5r0Hv2jsovgA,7fa7dbc1eb5b8594,2005/01/05,Hibiscus Lane #258,St. Thomas Lowland,KN0503,St. Kitts & Nevis,Sandy Point,1544,Female,+ 644547523112  ,2016/11,57
Jéssica Charles,Jssica.Charles@kkhairemporium.com,AFLv!vdy&Wvj,b012c718a61c7a48,1975/08/02 ,Hibiscus Lane #157,Castries,LC04 101,St. Lucia,Vieux Fort,2265,Prefer not to say,784-8165-244,2018/01/06,54
Anaïs Charles,Anas.Charles.635@kandk-hair.co,bPEps&,8cd419af4f38e48c,1963/01/13,Coral Ridge #277,St. Philip,BB23026,Barbados,Bridgetown,8775,Male,+1 (246) 8397283,2016/07/30,14
Latoya Clarke,Latoya.Clarke@kandk-hair.co,,,,,,,,,,,,,
Andre  Clarke,Andre.Clarke@MAIL.KKHAIR.NET,QW4jQcf33X,220cb922790ea3c8,1997-02-11,Coral Ridge #8,St. James,BB17001,Barbados,Warrens,13752,Male,+1 (246) 82689996,2018-07-29,67
Rashida Best,Rashida.Best.699@MAIL.KKHAIR.NET,V2xU6j,c074024dbe5c0920,2006/04/14 ,Independence Ave #38,St. Ann,57344,Jamaica,Spanish Town,10300,Female,+ 7741274692  ,2016/07/16,102
Tyrone Lewis,TYRONE.LEWIS-182@kandk-hair.co,$j5gHUIqnS,bf1ad4044bf0012c,1985/09/12,Palm Grove #236,St. Peter Basseterre,KN0302,St. Kitts & Nevis,Sandy Point,15401,Male,+1 (869) 28954001788,2017-06-20,30
Tyrone Best-Ramdeen,Tyrone.Best-Ramdeen@kkhairemporium.com,loVaw7,32a5d21b7e14611e,1993/08/05,Seaview Terrace #8,St. Michael,BB23026,Barbados,Oistins,21418,Female,(948) 54329876,2017/03,52
Tyrone Singh,Tyrone.Singh@kkhairemporium.com,s8zN&kBjeHQftTZC,2e96be87a4d1c8d1,1995/03,Market Street #113,Dennery,LC12 301,St. Lucia,Vieux Fort,16494,Male,425-3646-2805,2018-07-01,118
José Morris,Jos.Morris-164@kandk-hair.co,e*QPnf,9037323ec304a9__,1970/11,Palm Grove #208,Dennery,LC10 201,St. Lucia,Gros Islet,8783,Female,+ 201227595002  ,2016/04/13,14
Rohan Jean-Baptiste,Rohan.Jean-Baptiste@,e4Kf@m4yq7,1bb07210c9690630,1966/04/23,Bay Street #110,Soufrière,LC12 301,St. Lucia,Castries,2359,Non-binary,913599285535,2017/11/28,46
Keisha Morris-Joseph,Keisha.Morris-Joseph@mail.kkhair.net,hj*X49HfE9#IqByK,b700cfec5aa065b0,1974/01/24,Queen's Road #131,San Fernando,61270,Trinidad & Tobago,Port of Spain,15052,Non-binary,902-9233,2016/07/14,94
Devon Morris,Devon.Morris_6@mail.kkhair.net,olXY4Cra,aeaea525d95c177d,1971/01/28,Bay Street #73,St. Thomas,BB23026,Barbados,Oistins,6112,Female,+1 (246) 77092071,2017-12-06,28
Shanice Browne,SHANICE.BROWNE@kandk-hair.co,p%!aUm3no#3B&VQk,aef53c11a7f62c4f,2000/9/2,Bay Street #160,St. George Basseterre,KN0302,St. Kitts & Nevis,Basseterre,23671,Prefer not to say,(002) 8394,2017/04/13,19
Tanesha Forde,Tanesha.Forde@domain_with_space.kandk-hair.co,i1Uzbq,0416184744efb437,1972-05-26,Bamboo Crescent #67,St. George,22260,Barbados,Warrens,1541,Prefer not to say,(630) 05937,2017/12/29,74
Kofi Charles,Kofi.Charles@kkhairemporium.com,8MWfu^,08782cc54263df01,2004/12/26,Cedar Park #214,St. Peter,61544,Barbados,Bridgetown,12555,Male,+ 621986550494  ,2017/06/05,4
Kirsten Alleyne,Kirsten.Alleyne_582@mail.kkhair.net,Wv6yqvXr3plLsGB0,aa8431f3d4792c87,1985/05/25,Bay Street #69,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,San Fernando,21846,Female,+1 (868) 83334303,2018-01-19,67
Tia Clarke,Tia.Clarke@mail.kkhair.net,@Q6ZIQzUE3,f8ccc2d68425a9b0,1955/09/17,Bay Street #157,Arima,00000,Trinidad & Tobago,San Fernando,19527,Male,+ 59664721  ,2017/05/05,111
Tyrone Campbell,TYRONE.CAMPBELL@mail.kkhair.net,H*zFu1,9a961ed7e73003fb,1967/09/30,Sunset Blvd #189,Dennery,9994,St. Lucia,Castries,18251,Non-binary,235-4268-7,2018/10/17,63
Chloë Browne,Chlo.Browne@,C475q3ZP,6e03811b4e20baZZ,1998/05/29,Independence Ave #66,Kingston,34419,Jamaica,Montego Bay,21711,Male,609439,2016-09-09,27
 Khadija Pérez  ,KHADIJA.PREZ@kandk-hair.co,St%Ywdx!FS,bb67454e76509bf7,1975-03-26,Harbour View #219,Port of Spain,00000,Trinidad & Tobago,San Fernando,13012,Female,870826,2016-09-04,103
  Anaïs  Jean-Baptiste    ,Anas.Jean-Baptiste-103@loyalty.kkhair.com,Cxl@3H&HZ9zP4Hqs,644503984b455bc1,1985/04,Seaview Terrace #26,St. James,93287,Jamaica,Kingston,2184,Female,+ 04674130753  ,2017-09-16,83
Sade Williams St. Clair,Sade.Clair@,UXiOJ8fUOGjw,2b2d822aad802c6a,1999/07/23 ,Independence Ave #31,St. John Figtree,KN0302,St. Kitts & Nevis,Basseterre,8310,Male,+1 (869) 2019712124,2017/02/17,96
Mikaël Singh,MIKAL.SINGH@ mail.kkhair.net,9Dkxq4Xd6R^&,db769632ca960a57,1959/02,Coral Ridge #36,Chaguanas,13082,Trinidad & Tobago,San Fernando,8922,Non-binary,747-0002-6876,2018/06/10,38
Jermaine Ramdeen,Jermaine.Ramdeen@kandk-hair.co,GQec0F,7f61c8d5ee23b4c7,1959/06/12,Coral Ridge #239,St. George Basseterre,KN0503,St. Kitts & Nevis,Sandy Point,3608,Male,+ 27636431594  ,2017/11/17,44
Kirsten De la Cruz,Kirsten.Cruz@loyalty.kkhair.com,jNpYFFHJ5K,8d805471ad4f6837,1955/09/19,Bamboo Crescent #293,Soufrière,LC04 101,St. Lucia,Vieux Fort,5679,Female,+1 (758) 7075485346557922,2016/01/21,35
Kirsten Jean-Baptiste,Kirsten.Jean-Baptiste@KKHAIREMPORIUM.COM,nroA7QYT^Y,af0d2628b968acc7,1974/12/28,Market Street #190,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,6242,Prefer not to say,+1 (869) 2033474,2018/04/12,13
Dwayne Campbell,Dwayne.Campbell@mail.kkhair.net,eOsJWg,2fe92e86196a147b,1969/08,Market Street #144,St. Thomas,BB23026,Barbados,Bridgetown,14694,Non-binary,233-2829-30202,2016/08/08,112
Marlon Clarke,Marlon.Clarke.126@mail.kkhair.net,42s9SO,158b612578f57068,1966-10-29,Market Street #152,St. Thomas,BB14000,Barbados,Bridgetown,14883,Male,+ 2405076  ,2017/06/14,69
Zoë Dottin,Zo.Dottin@mail.kkhair.net,xHgXU*,e4f4a254a1acc984,1998/07,Hibiscus Lane #232,Arima,00000,Trinidad & Tobago,Port of Spain,2770,Female,187803,2018-05-01,95
Andre De la Cruz,Andre.Cruz@MAIL.KKHAIR.NET,tTnGTwOo,554fc877e550b944,1970/10/21 ,Queen's Road #134,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Basseterre,24249,Female,(833) 444704887,2017/11/08,59
D’Andre Browne-Alleyne,DANDRE.BROWNE-ALLEYNE@loyalty.kkhair.com,GxY2AuO1DIx5,fa55b40d2cb2440b,1969/02,Coconut Walk #60,St. Michael,52281,Barbados,Bridgetown,1377,Male,+ 55963637262  ,2017/08/30,23
Kirsten Alleyne St. Clair,KIRSTEN.CLAIR@kkhairemporium.com,&ffI&Cui,254352b93b4ddfc9,1964/04/30,Sunset Blvd #272,St. James,BB14000,Barbados,Warrens,10135,Non-binary,2006298778735856,2017/07,51
Jéssica O'Connor,JSSICA.OCONNORKANDK-HAIR.CO,swjyxcNifKuG,39f32fe4d8356301,1993/10/03,Palm Grove #87,Dennery,LC04 101,St. Lucia,Castries,11397,Male,+ 285386310505  ,2017/07/07,67
Rashida St. Clair-Holder,Rashida.Clair-Holder@kandk-hair.co,hh5Y&3u63FDwA#XA,fd2a3c5ce37d9302,2000/05/19,Hibiscus Lane #116,Clarendon,20,Jamaica,Spanish Town,17713,Male,279-1875-0,2018/09/14,12
Kirsten Dottin,Kirsten.Dottin.536@kkhairemporium.com,jq740o6#,bd79bf504ccbcc5b,1963-06-14,Mango Tree Drive #105,St. James,BB17001,Barbados,Warrens,10687,Male,46074299074,2016-10-19,52
Devon  Grant-Baptiste,Devon.Grant-Baptiste.469@loyalty.kkhair.com,TKZJj$y#Mo07FK6%,a6c3c9089a05c0a5,1957/10,Independence Ave #235,Port of Spain,61997,Trinidad & Tobago,Chaguanas,19720,Female,(824) 845,2017/03/29,112
Devon  Charles,Devon.Charles@kandk-hair.co,nS1 Ebt5Vbg,1bcc3b60bc9386e9,2006-02-02,Bamboo Crescent #246,St. George Basseterre,2938,St. Kitts & Nevis,Basseterre,13580,Female,+1 (869) 136510,2017/08/28,32
Kofi Singh,Kofi.Singh@domain_with_space.mail.kkhair.net,vMeWsqoPS3,4ad55530a769e08f,1989/11/18,Coconut Walk #167,St. Catherine,39207,Jamaica,Montego Bay,5594,Female,+1 (876) 3835071245531290,2017/05/25,84
Keisha Núñez,Keisha.Nez@kandk-hair.co,2I&*FSPP,5595b4a3c3afb2ZZ,2002/06/20,Palm Grove #186,St. Catherine,22156,Jamaica,Montego Bay,14880,Non-binary,+ 73535247  ,2017/08/28,101
Jamal Holder,Jamal.Holder@loyalty.kkhair.com,eQD!$&dC,6d22675d1f52b5ff,1980/08/03,Harbour View #95,Chaguanas,99688,Trinidad & Tobago,Port of Spain,4005,Prefer not to say,+ 465353780189  ,2017/12/30,61
Dwayne Lewis,Dwayne.Lewis@mail.kkhair.net,iNCAYrGW3HRg,0131af707a532d99,1981/06/13,Sugar Cane Way #264,St. Ann,48999,Jamaica,Spanish Town,12147,Prefer not to say,+1 (876) 8575958,2018-11-27,107
Andre Browne,Andre.Browne@kkhairemporium.com,y5k7bQ^MHQmIA2@u,c325606ad327f28a,1957/01/12,Coral Ridge #294,St. Peter Basseterre,2726,St. Kitts & Nevis,Sandy Point,18910,Female,+ 52866933  ,2018/02/04,106
 Zoë Joseph  ,Zo.Joseph@kkhairemporium.com,qYcppEkb,4f94ab37d11a3319,1967/3/3,Sugar Cane Way #237,Gros Islet,LC04 101,St. Lucia,Gros Islet,22844,Prefer not to say,(662) 7135,2018/04/01,26
Marlon Pérez,MARLON.PREZ@mail.kkhair.net,5FlQXWE!xT,33c97c147ff5e05d,1988/12/06,Queen's Road #128,Vieux Fort,LC04 101,St. Lucia,Gros Islet,8352,Non-binary,+ 610197  ,2017/10/24,26
Rashida Jean-Baptiste,Rashida.Jean-Baptiste@LOYALTY.KKHAIR.COM,*ar!BbHs!1A2r$nH,8e37a60d1dfc8055,1979/12/17,Market Street #233,Vieux Fort,LC12 301,St. Lucia,Castries,23164,Male,+ 5872717430688116  ,2017-07-08,98
Rohan Grant,ROHAN.GRANT@mail.kkhair.net,$CDBZK85bG,003b6d054c4b85ZZ,1975/11/15,Coral Ridge #18,St. Philip,BB23026,Barbados,Warrens,15133,Male,441007,2017/07/11,27
Tanesha Holder,TANESHA.HOLDER.495@loyalty.kkhair.com,sJ*7d8tX,d655b2f94590865d,2002/11/14,Palm Grove #19,St. Andrew,60144,Jamaica,Kingston,22529,Prefer not to say,0702867,2016/12/13,119
Jéssica Morris-Holder,JSSICA.MORRIS-HOLDER@kandk-hair.co,*dbR78Odhm@F,00e6e261e55236c1,1997/05/26,Seaview Terrace #200,St. James,05,Jamaica,Kingston,8319,Non-binary,+1 (876) 4617192817074436,2016-10-23,97
Dwayne Jean-Baptiste,DWAYNE.JEAN-BAPTISTE.407@kkhairemporium.com,IkscIN58xWcAx1TO,4fd2e9048bbb3c14,2006/08/01,Queen's Road #275,Micoud,LC10 201,St. Lucia,Gros Islet,17710,Prefer not to say,(498) 6478686237600,2017/07/05,33
Khadija O'Connor,Khadija.OConnor.113@kkhairemporium.com,qk3MfgZ^zYqzPDJ*,d8e1537da8d54052,1972/11/17,Mango Tree Drive #76,St. Peter,BB23026,Barbados,Warrens,48,Male,+1 (246) 3000088634673919,2018/11/23,98
Keisha  Johnson,Keisha.Johnson@kkhairemporium.com,Er@z6&6f,a92df8c7110877d3,1976/12/01,Sunset Blvd #50,St. Paul Charlestown,KN0503,St. Kitts & Nevis,Basseterre,21697,Non-binary,458-2942-03401,2017-10-25,35
Kirsten Clarke,Kirsten.Clarke@loyalty.kkhair.com,34sgmhrIcr*l,447e904c41b2f8a4,1987/03/01,Hibiscus Lane #211,Chaguanas,30941,Trinidad & Tobago,San Fernando,570,Female,+1 (868) 12918285,2016/08/25,120
Chloë Browne,CHLO.BROWNE.888MAIL.KKHAIR.NET,wChH20dgkqF%,202564d2b2408b0f,1994/01/17,Hibiscus Lane #133,St. James,BB14000,Barbados,Warrens,21466,Male,7634601,2017/11/12,46
Zoë O'Connor,Zo.OConnor@kandk-hair.co,k!0&vuOmq6xY,0cdcbc4482ede89f,1962/03/23,Coral Ridge #31,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,Port of Spain,13526,Female,+ 8489742235434046  ,2018/02/13,14
Keisha Brathwaite,KEISHA.BRATHWAITE@loyalty.kkhair.com,cZJKlpm@,24e70d797a9528d0,1991/5/8,Bamboo Crescent #10,St. Catherine,04,Jamaica,Kingston,2985,Male,+ 5434123016049860  ,2017/05/05,12
Tia Morris,Tia.Morris@kkhairemporium.com,gkl JebAM8oEn@m71,3c4b1839eab0326e,1985/04/18,Sugar Cane Way #62,St. George Basseterre,KN0302,St. Kitts & Nevis,Charlestown,17317,Prefer not to say,072-7903-7161,2018/11/14,78
Anaïs Williams,Anas.Williams@mail.kkhair.net,&z!RDf,d30590bbe1058964,1990/06/17,Independence Ave #63,Diego Martin,86687,Trinidad & Tobago,Chaguanas,21918,Prefer not to say,57467067516,2016/08/30,108
José O'Connor,Jos.OConnor_859@mail.kkhair.net,ja9bBzUf%HuK,37499270093d20ZZ,1988/01/16,Harbour View #244,Dennery,6975,St. Lucia,Vieux Fort,9528,Prefer not to say,+ 339534811050  ,2017/07,53
Jéssica Williams,Jssica.Williams@kkhairemporium.com,Por*j5@Qmr,bf3ab84c1e57c049,1994/01/14,Cedar Park #190,Vieux Fort,7927,St. Lucia,Gros Islet,4631,Female,(171) 07308,2018/01/10,33
Rashida van der Kringle,Rashida.Kringle@mail.kkhair.net,cx4LjM#P6xXguwQH,cc4e591edd840ec6,1961/01/24,Sugar Cane Way #106,Chaguanas,37295,Trinidad & Tobago,San Fernando,13682,Male,+1 (868) 92386879,2016-03-02,66
Tia Ramdeen,Tia.Ramdeen@kandk-hair.co,,,,,,,,,,,,,
Anaïs Greenidge,ANAS.GREENIDGE@mail.kkhair.net,u*VoKIZDeV,3d065505d0385c8f,1960/06/07,Palm Grove #37,St. Thomas,BB14000,Barbados,Bridgetown,2634,Prefer not to say,+1 (246) 7050049,2017/01/13,58
Tanesha Núñez,TANESHA.NEZ@mail.kkhair.net,3Ea*CeYPHhuS,a3774e5f5253c7b1,2005/07/12,Palm Grove #65,St. Ann,65021,Jamaica,Montego Bay,21164,Non-binary,(272) 8453974995070,2018/06/09,0
Zoë Baptiste,Zo.Baptiste_559@,vfvxjVMEeJH*eCwu,6765057b214bab13,1975/04/19,Coconut Walk #169,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,San Fernando,19034,Non-binary,+1 (868) 393332436296,2016/02/24,95
Chloë Campbell,CHLO.CAMPBELL@kkhairemporium.com,QYOrhpsF@Zzj,9b8520c5826ea345,1961/10/26,Sunset Blvd #247,St. Thomas Lowland,4803,St. Kitts & Nevis,Basseterre,13878,Non-binary,528-6461-209,2018-07-07,29
Shanice Ramdeen,Shanice.Ramdeen@@loyalty.kkhair.com,vniTDQTb,86433971efe48e4b,1977/07/19,Independence Ave #48,St. George,BB17001,Barbados,Oistins,8335,Non-binary,819204877067,2017/02,112
Jéssica Browne,JSSICA.BROWNE.966@kkhairemporium.com,,,,,,,,,,,,,
  Devon  Ramdeen    ,Devon.Ramdeen@@mail.kkhair.net,fr0ZaHRgU3yx,910721277b65459e,1974/12/07,Palm Grove #24,Soufrière,LC10 201,St. Lucia,Gros Islet,15920,Female,+ 64616076  ,2018/03/11,90
José Holder Singh,Jos.Singh@mail.kkhair.net,oAz0obHK,d9463cb8936e5efc,1997/10/04,Bay Street #17,St. John Figtree,KN0503,St. Kitts & Nevis,Charlestown,9578,Male,+1 (869) 04617551887,2016-06-26,63
Kofi Ramdeen,Kofi.Ramdeenloyalty.kkhair.com,Ij@vCIS2Qz,c8e05b9b7c4d18e5,1993/12/04,Coconut Walk #33,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,16412,Non-binary,+ 574216435990  ,2016/03/07,28
Rashida Forde,Rashida.Forde@ mail.kkhair.net,#%HJB6gYWk*5,bd8de4c7c2b92b11,1997/08/25,Independence Ave #296,Port of Spain,11453,Trinidad & Tobago,San Fernando,1343,Prefer not to say,860435660503,2018/06/28,54
Khadija Campbell,Khadija.Campbell@kkhairemporium.com,rxx108,820eda6a1cf6d695,2000/03/10,Harbour View #13,St. Thomas Lowland,KN0101,St. Kitts & Nevis,Charlestown,20866,Non-binary,22170486186,2018/06/25,50
Aaliyah García Forde,Aaliyah.Forde@,w$k&u!pt1PAD7l6a,985c9506727a9039,2005/09/27,Harbour View #231,Kingston,13,Jamaica,Kingston,20215,Non-binary,8730549824388430,2016/06/03,68
Kirsten Baptiste,Kirsten.Baptiste@loyalty.kkhair.com,^gnWGs$lQa,e13f14d91e16012e,1968/06/23,Coral Ridge #213,St. George,BB23026,Barbados,Warrens,17254,Non-binary,+1 (246) 0072889592741168,2016-08-18,113
Noël Johnson,Nol.Johnson_544@kandk-hair.co,6hw1yH,6ac58af02509495b,1956/08/31,Bay Street #80,San Fernando,00000,Trinidad & Tobago,Port of Spain,5984,Non-binary,760-3967-0243,2016-09-29,114
Andre Holder,Andre.Holder@kkhairemporium.com,JcFZI$*spT,ef7b8cd4647d1cce,2002/06/15,Coral Ridge #38,Gros Islet,LC12 301,St. Lucia,Vieux Fort,15879,Male,+1 (758) 0429862,2018/04/21,16
Tia Best,TIA.BEST@mail.kkhair.net,tFBP9Z$7@5xV,d0937851873a6624,1991-02-08,Palm Grove #35,St. James,BB14000,Barbados,Oistins,21568,Prefer not to say,291-4304-913,2016/02/04,103
Latoya Brathwaite,Latoya.Brathwaite.628@@mail.kkhair.net,MurLbQth%xDR,0fdd38c41bc402fb,1955/04/02,Harbour View #210,St. George Basseterre,9621,St. Kitts & Nevis,Charlestown,10918,Prefer not to say,+1 (869) 4043474,2016/11/30,9
Latoya De la Cruz,Latoya.Cruz-508@KANDK-HAIR.CO,hC1lwfsQjz,66e1695998e908__,2002/12/15,Independence Ave #116,St. Catherine,10673,Jamaica,Montego Bay,10530,Female,917-0851-732895145,2017/06/07,104
 Rashida Pérez  ,Rashida.Prez@kkhairemporium.com,IYUFoYg!8a,0709a9380745206c,1969/05/20,Sugar Cane Way #21,Christ Church,BB23026,Barbados,Oistins,18175,Prefer not to say,+1 (246) 407880265295,2018/02/21,55
Rohan Jean-Baptiste,Rohan.Jean-Baptiste_955@kandk-hair.co,c##g3!f#9f,132972264cc33a8a,1985/10,Harbour View #124,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Charlestown,21502,Prefer not to say,+1 (869) 472205,2018/08/21,60
Tanesha Holder,Tanesha.Holder@kkhairemporium.com,zk4iLXjR,8dfcd4d57ac0b704,1961/08/11,Coconut Walk #9,San Fernando,TT8965,Trinidad & Tobago,San Fernando,194,Male,+1 (868) 8605063066,2016/01/18,16
Mikaël van der Kringle,MIKAL.KRINGLE.602@kkhairemporium.com,pvhEds,08a56ebeb735c1%^,1986/04/18,Mango Tree Drive #152,St. Thomas Lowland,KN0503,St. Kitts & Nevis,Charlestown,19350,Male,+ 548944  ,2017/04/06,15
Shanice van der Kringle,Shanice.Kringle@ loyalty.kkhair.com,QYZuvVtp@@,dc07d3d49d0e09e4,1991-06-08,Hibiscus Lane #181,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,2326,Non-binary,+ 0173167  ,2017/10/09,44
Jermaine Ramdeen Williams,Jermaine.Williamsloyalty.kkhair.com,HUBmO7gO6pk^,cd9c6dac376af8ec,1955/08/15 ,Mango Tree Drive #26,St. Peter Basseterre,4979,St. Kitts & Nevis,Sandy Point,23954,Female,(430) 19220956,2017/03/20,104
